Designator,Comment,Footprint,Mid X,Mid Y,Rotation,Side
"Logo3","Logo","MadeInRussia_47d4",25.000000,82.500000,180.000000,bottom
"ANT1","ANT_PCB_MONO","ANT_868_MEANDER_4HOR_35mm",25.000000,79.000000,180.000000,top
"BLN1","0896BM15A0001","BALUN_JOHANSON868",18.494000,73.462400,90.000000,top
"C1","1u","CAP_0603",33.900000,15.700000,0.000000,top
"C2","10u","CAP_0603",11.696600,43.469200,180.000000,top
"C3","0.1u","CAP_0603",12.794000,70.662400,180.000000,top
"C4","0.1u","CAP_0603",6.541600,59.191900,0.000000,top
"C5","0.1u","CAP_0603",14.500000,73.100000,180.000000,top
"C6","0.1u","CAP_0603",2.341600,50.491900,90.000000,top
"C7","0.1u","CAP_0603",21.594000,73.862400,90.000000,top
"C8","18pF","CAP_0603",18.541600,54.791900,0.000000,top
"C9","0.1u","CAP_0603",11.700000,45.400000,180.000000,top
"C10","0.1u","CAP_0603",22.894000,68.162400,270.000000,top
"C12","10n","CAP_0603",16.941600,57.091900,90.000000,top
"C13","0.1u","CAP_0603",18.294000,63.162400,270.000000,top
"C14","1u","CAP_0603",36.800000,18.600000,270.000000,top
"C15","18pF","CAP_0603",18.600000,48.700000,180.000000,top
"C16","1u","CAP_0603",15.341600,57.091900,90.000000,top
"C17","0.1u","CAP_0603",12.794000,67.462400,180.000000,top
"C18","0.1u","CAP_0603",43.700000,11.300000,180.000000,top
"C19","18pF","CAP_0603",26.284000,64.900000,180.000000,top
"C20","18pF","CAP_0603",26.303000,71.357400,0.000000,top
"C21","0.1u","CAP_0603",19.894000,63.162400,270.000000,top
"C22","1.8pF","CAP_0402",18.094000,75.162400,0.000000,top
"C23","1u","CAP_0603",12.800000,65.800000,180.000000,top
"C24","10u","CAP_0805",25.100000,18.100000,90.000000,top
"C25","0.1u","CAP_0603",23.300000,17.700000,90.000000,top
"D7","BAT54WS","SOD323",26.700000,15.300000,0.000000,top
"DA1","MCP1700","SOT23-3A",33.400000,18.600000,270.000000,top
"DD1","STM32L151CxTx","LQFP48",9.141600,52.391900,180.000000,top
"F1","Fuse0R","RES_0603_FUSE",41.074000,48.126000,0.000000,top
"F2","Fuse0R","RES_0603_FUSE",41.074000,49.726000,0.000000,top
"F3","Fuse0R","RES_0603_FUSE",41.074000,51.326000,0.000000,top
"F4","Fuse0R","RES_0603_FUSE",41.074000,52.926000,0.000000,top
"F5","Fuse0R","RES_0603_FUSE",41.074000,54.526000,0.000000,top
"F6","Fuse0R","RES_0603_FUSE",41.074000,56.126000,0.000000,top
"L1","BLM15AG102SN1","IND_0402",13.700000,63.800000,270.000000,top
"L2","BLM15AG102SN1","IND_0402",14.500000,43.500000,0.000000,top
"L3","5.6nH","IND_0402",17.594000,76.862400,270.000000,top
"Logo1","Logo","KvantduinoLogoText_44d4",24.700000,94.200000,0.000000,top
"Q1","BC848","SOT23-3",18.300000,30.300000,90.000000,top
"Q2","MMBT2222","SOT23-3",18.300000,26.700000,90.000000,top
"Q3","MMBT2222","SOT23-3",28.100000,18.100000,0.000000,top
"R1","100R","RES_0603",29.500000,57.700000,90.000000,top
"R2","100R","RES_0603",29.500000,49.300000,270.000000,top
"R3","100R","RES_0603",29.500000,39.100000,270.000000,top
"R4","100R","RES_0603",39.600000,39.200000,270.000000,top
"R5","100R","RES_0603",19.500000,39.300000,270.000000,top
"R6","100k","RES_0603",19.700000,15.700000,180.000000,top
"R7","100k","RES_0603",16.300000,15.700000,180.000000,top
"R8","1k","RES_0603",16.200000,53.500000,90.000000,top
"R9","56k","RES_0603",23.500000,63.300000,0.000000,top
"R10","100R","RES_0603",43.700000,13.600000,180.000000,top
"R11","56k","RES_0603",12.794000,69.062400,180.000000,top
"R12","10k","RES_0603",15.300000,30.300000,90.000000,top
"R13","1k","RES_0603",15.300000,26.700000,90.000000,top
"R14","1k","RES_0603",28.100000,21.100000,0.000000,top
"SW2","DIPx6","DIP_SMD_1D27X6",41.074000,52.126000,180.000000,top
"TP1","TESTPOINT","TESTPOINT_1MM",14.900000,53.100000,270.000000,top
"TP2","TESTPOINT","TESTPOINT_1MM",21.391500,62.303500,0.000000,top
"TP3","TESTPOINT","TESTPOINT_1MM",16.047300,61.814000,0.000000,top
"XTAL1","12.0MHz","03225C4",18.590600,51.755900,270.000000,top
"XTAL2","27MHz","03225C4",26.284000,68.100000,90.000000,top
